raw_comp_writers_text,CLEAN_TEXT,split_phrases
Enrico Brun/Riccardo Onori/Marco Paganelli/Christian Rigano/Lorenzo Jovanotti Cherubini,Riccardo Onori/Christian Rigano/Lorenzo Jovanotti Cherubini,"['Enrico Brun', 'Riccardo Onori', 'Marco Paganelli', 'Christian Rigano', 'Lorenzo Jovanotti Cherubini']"
Abebe Birhane,Abebe Birhane,['Abebe Birhane']
Howard Bernstein,,['Howard Bernstein']
Alfredito Guzman Salazar jr,Alfredito Guzman Salazar jr,['Alfredito Guzman Salazar jr']
Bobby Ingram/Phil McCormack,,"['Bobby Ingram', 'Phil McCormack']"
"Aloy,Josias (NLD),Young T (Producer),24Heavy,YTB Trench,Future,Young Thug,Unfoonk",Aloy/Josias (NLD)/Young T (Producer)/24Heavy/YTB Trench/Future/Young Thug/Unfoonk,"['Aloy', 'Josias', 'NLD', 'Young T', 'Producer', '24Heavy', 'YTB Trench', 'Future', 'Young Thug', 'Unfoonk']"
"[""ALAN REID"", ""BRIAN MACNEILL"", ""DUNCAN MACGILLIVRAY"", ""JENNY CLARK"", ""TRAD""]",,"['[""ALAN REID""', '""BRIAN MACNEILL""', '""DUNCAN MACGILLIVRAY""', '""JENNY CLARK""', '""TRAD""]']"
Wyman/Ho Bing/Harris Ho,Wyman/Ho Bing/Harris Ho,"['Wyman', 'Ho Bing', 'Harris Ho']"
Виноградов Вячеслав,,['Виноградов Вячеслав']
"<Unknown>/Antoine, Katoto Luhembe",Antoine/Katoto Luhembe,"['<Unknown>', 'Antoine', 'Katoto Luhembe']"
Manan Bhardwaj,Manan Bhardwaj,['Manan Bhardwaj']
Carlos Torres Carpizo/Santiago Silva Peña/Humberto Rodríguez Terrazas,Carlos Torres Carpizo/Santiago Silva Peña/Humberto Rodríguez Terrazas,"['Carlos Torres Carpizo', 'Santiago Silva Peña', 'Humberto Rodríguez Terrazas']"
"<Unknown>/Pagan, Manuel E",Pagan/Manuel/E,"['<Unknown>', 'Pagan', 'Manuel E']"
Charlie Parker,Charlie Parker,['Charlie Parker']
André Sebastian Alvinzi,André Sebastian Alvinzi,['André Sebastian Alvinzi']
BRYAN (NM)KONG/BRYCE (NM)ZIALCITA/ISA (NM)GARCIA/SARAH (NM)MARCO/SIOPAO (NM)CHUA,,"['BRYAN', 'NM', 'KONG', 'BRYCE', 'NM', 'ZIALCITA', 'ISA', 'NM', 'GARCIA', 'SARAH', 'NM', 'MARCO', 'SIOPAO', 'NM', 'CHUA']"
Ron Alan Steele  IPI #335529165 (ASCAP),Ron Alan Steele,"['Ron Alan Steele  IPI #335529165', 'ASCAP']"
Ayan Kakar & Saleem Kakar,Ayan Kakar/Saleem Kakar,"['Ayan Kakar', 'Saleem Kakar']"
Shibayan,Shibayan,['Shibayan']
Tom James/Troy Martin,Tom James/Troy Martin,"['Tom James', 'Troy Martin']"
Pedro Humberto Allende,Pedro Humberto Allende,['Pedro Humberto Allende']
Isaac Hall,Isaac Hall,['Isaac Hall']
Kalem Tarrant,Kalem Tarrant,['Kalem Tarrant']
zts,zts,['zts']
YPC Samad/Trapalot G5,YPC Samad/Trapalot G5,"['YPC Samad', 'Trapalot G5']"
鳴風/佐久間貴生,,"['鳴風', '佐久間貴生']"
CA GLISTRUP JEAN ERIC/CA JENSEN MARIA LOUISE SIMONSEN/CA NORDHEIM MADS/CA TALAY FUAT/PA MASHTI & JEAN VON BADEN,TALAY/FUAT/PA/MASHTI/&/JEAN/VON/BADEN,"['CA GLISTRUP JEAN ERIC', 'CA JENSEN MARIA LOUISE SIMONSEN', 'CA NORDHEIM MADS', 'CA TALAY FUAT', 'PA MASHTI', 'JEAN VON BADEN']"
Teófilo Guerrero,Teófilo Guerrero,['Teófilo Guerrero']
Shane Petersson,Shane Petersson,['Shane Petersson']
Qua  Hunned,Qua  Hunned,['Qua  Hunned']
Fito Olivares,Fito Olivares,['Fito Olivares']
Caique Vidal & Batuque,Caique Vidal & Batuque,"['Caique Vidal', 'Batuque']"
Donald Jackson lll & Kawaiistacy,Donald Jackson lll/Kawaiistacy,"['Donald Jackson lll', 'Kawaiistacy']"
"RACHEL SCARLET WEST,SAKAI JUNHO,DAY DAY,MICHAEL KENNETH LANTZ",RACHEL SCARLET WEST/SAKAI JUNHO/DAY DAY/MICHAEL KENNETH LANTZ,"['RACHEL SCARLET WEST', 'SAKAI JUNHO', 'DAY DAY', 'MICHAEL KENNETH LANTZ']"
Christian Bruckhaus/N.D.M.,,"['Christian Bruckhaus', 'N.D.M.']"
Nguyễn Ngọc Tiểu Vi,,['Nguyễn Ngọc Tiểu Vi']
George D.,George D.,['George D.']
Hanna Nicole/Ashley Grace/José Luis Ortega,Hanna Nicole/Ashley Grace/José Luis Ortega,"['Hanna Nicole', 'Ashley Grace', 'José Luis Ortega']"
Irshad Kamil/Vishal-Shekhar,Irshad Kamil/Vishal-Shekhar,"['Irshad Kamil', 'Vishal-Shekhar']"
Dynamic Corvettes/Michael Conley/Robert Moore,Dynamic Corvettes/Michael Conley/Robert Moore,"['Dynamic Corvettes', 'Michael Conley', 'Robert Moore']"
SoFaygo,SoFaygo,['SoFaygo']
Le Maximum Kouette,,['Le Maximum Kouette']
Ihor Vitsinskyy,Ihor Vitsinskyy,['Ihor Vitsinskyy']
Limit,Limit,['Limit']
EH!DE/Sabi Achhab/MIDNIGHT CVLT/Miguel Blanco/Copyright Control,,"['EH!DE', 'Sabi Achhab', 'MIDNIGHT CVLT', 'Miguel Blanco', 'Copyright Control']"
Bar 25 Music/William Reyes/Anthony Samaha/Copyright Control,William Reyes/Anthony Samaha,"['Bar 25 Music', 'William Reyes', 'Anthony Samaha', 'Copyright Control']"
櫻井敦司/今井寿,,"['櫻井敦司', '今井寿']"
DJ OG Uncle Skip,DJ OG Uncle Skip,['DJ OG Uncle Skip']
Decolonize Your Mind Society,Decolonize Your Mind Society,['Decolonize Your Mind Society']
"Jeronimo Romero, Alan Sutton, Lautaro Rodriguez Álvarez, Agustín Ruiz Panelo, Juan Ignacio Bennatti Romero & Tomás Martin Caso",Jeronimo Romero/Alan Sutton/Lautaro Rodriguez Álvarez/Agustín Ruiz Panelo/Juan Ignacio Bennatti Romero/Tomás Martin Caso,"['Jeronimo Romero', 'Alan Sutton', 'Lautaro Rodriguez Álvarez', 'Agustín Ruiz Panelo', 'Juan Ignacio Bennatti Romero', 'Tomás Martin Caso']"
Eric Richard Holljes/Michael Robert Henrion Posner/Sean Michael Anderson,,"['Eric Richard Holljes', 'Michael Robert Henrion Posner', 'Sean Michael Anderson']"
Allen Touissant/W. Lee,,"['Allen Touissant', 'W. Lee']"
John Toso,John Toso,['John Toso']
V. Stewart,V. Stewart,['V. Stewart']
Tilo Wolff,Tilo Wolff,['Tilo Wolff']
Malay/Ilsey Juber/Andrew Wyatt/Emile Haynie/Jeff Bhasker/Sarah Aarons/James Ryan Ho/Dacoury Natche/Thomas Edward Percy Hull/Lykke Li Timotej Zachrisson/DJ Dahi,Malay/Ilsey Juber/Andrew Wyatt/Emile Haynie/Jeff Bhasker/Sarah Aarons/James Ryan Ho/Dacoury Natche/Thomas Edward Percy Hull/Lykke Li Timotej Zachrisson/DJ Dahi,"['Malay', 'Ilsey Juber', 'Andrew Wyatt', 'Emile Haynie', 'Jeff Bhasker', 'Sarah Aarons', 'James Ryan Ho', 'Dacoury Natche', 'Thomas Edward Percy Hull', 'Lykke Li Timotej Zachrisson', 'DJ Dahi']"
CARRILLO ALARCON ALVARO,CARRILLO/ALARCON/ALVARO,['CARRILLO ALARCON ALVARO']
Blue Weaver/J.J. Jeczalik,,"['Blue Weaver', 'J.J. Jeczalik']"
"Pachanga; J. Del Alma, R Caliente",Pachanga/J. Del Alma/R Caliente,"['Pachanga; J. Del Alma', 'R Caliente']"
Jean-Michel Defaye,Jean-Michel Defaye,['Jean-Michel Defaye']
Mario Delgado,Mario Delgado,['Mario Delgado']
Carlos Walker,Carlos Walker,['Carlos Walker']
Brahim Biskri,Brahim Biskri,['Brahim Biskri']
George Bell,George Bell,['George Bell']
Campbell/Cutfather & Joe/Taylor/Wood,Campbell/Cutfather & Joe/Taylor/Wood,"['Campbell', 'Cutfather', 'Joe', 'Taylor', 'Wood']"
Марковский Иван Владимирович,,['Марковский Иван Владимирович']
Sánchez Saldaña José del Refugio,Sánchez Saldaña José del Refugio,['Sánchez Saldaña José del Refugio']
BMI/Seven Davis Jr./Samuel Lonnelee Davis,Seven Davis Jr./Samuel Lonnelee Davis,"['BMI', 'Seven Davis Jr.', 'Samuel Lonnelee Davis']"
Ian Levine/Fiachra Trench,,"['Ian Levine', 'Fiachra Trench']"
Julio Saucedo,Julio Saucedo,['Julio Saucedo']
Roody Delpe,Roody Delpe,['Roody Delpe']
Zajan Dejesus,Zajan Dejesus,['Zajan Dejesus']
Jesús María Corman/Mikel Erentxun,,"['Jesús María Corman', 'Mikel Erentxun']"
CA MARCIN SZYNKOWSKI/CA SIBEKINA NATALIA/PA MART SINE     & NATALIE GIOIA,MARCIN/SZYNKOWSKI/SIBEKINA/NATALIA/PA/MART/SINE/&/NATALIE/GIOIA,"['CA MARCIN SZYNKOWSKI', 'CA SIBEKINA NATALIA', 'PA MART SINE', 'NATALIE GIOIA']"
"RR, Miloslav Šimek & Luděk Sobota",Miloslav Šimek/Luděk Sobota,"['RR', 'Miloslav Šimek', 'Luděk Sobota']"
Merv Pepler,Merv Pepler,['Merv Pepler']
Uli Salm/Ulf Krüger/Melvin Endsley/Ralph Maria Siegel,Uli Salm/Ulf Krüger/Melvin Endsley/Ralph Maria Siegel,"['Uli Salm', 'Ulf Krüger', 'Melvin Endsley', 'Ralph Maria Siegel']"
"K!ng Joe,Premo Rice",K!ng Joe/Premo Rice,"['K!ng Joe', 'Premo Rice']"
"Balzary, Binzer, Frusciante, Kiedis, Mazur & Smith",Balzary/Binzer/Frusciante/Kiedis/Mazur/Smith,"['Balzary', 'Binzer', 'Frusciante', 'Kiedis', 'Mazur', 'Smith']"
Tyler Lyle & Tim McEwan,Tyler Lyle/Tim McEwan,"['Tyler Lyle', 'Tim McEwan']"
Brian Patrick Kane,Brian Patrick Kane,['Brian Patrick Kane']
Batakrishna Dey/Sudhin Dasgupta,Batakrishna Dey/Sudhin Dasgupta,"['Batakrishna Dey', 'Sudhin Dasgupta']"
"Josh Best, Patrick Blackie, Glenn Arseneau, Dave Mackenzie, Kellan Menhennett & Peter Arseneau",Josh Best/Patrick Blackie/Glenn Arseneau/Dave Mackenzie/Kellan Menhennett/Peter Arseneau,"['Josh Best', 'Patrick Blackie', 'Glenn Arseneau', 'Dave Mackenzie', 'Kellan Menhennett', 'Peter Arseneau']"
Deniz Bijen Rahimi,Deniz Bijen Rahimi,['Deniz Bijen Rahimi']
Henri Djian/Claude Bolling,Claude Bolling,"['Henri Djian', 'Claude Bolling']"
Travis Griffiths,Travis Griffiths,['Travis Griffiths']
Lil Raider,Lil Raider,['Lil Raider']
Joriah Kwame Fleming,Joriah Kwame Fleming,['Joriah Kwame Fleming']
Des Bryan/Desmond Bryan/Webster Shrowder,Desmond Bryan/Webster Shrowder,"['Des Bryan', 'Desmond Bryan', 'Webster Shrowder']"
Давид Водуд/Александр Адамов,,"['Давид Водуд', 'Александр Адамов']"
Jean Brutus Dérissaint,Jean Brutus Dérissaint,['Jean Brutus Dérissaint']
Jimmy Heath/Orrin Keepnews,Jimmy Heath/Orrin Keepnews,"['Jimmy Heath', 'Orrin Keepnews']"
EMT LA & Swifty Blue,EMT LA/Swifty Blue,"['EMT LA', 'Swifty Blue']"
"<Unknown>/Trent, Jonathan",Trent/Jonathan,"['<Unknown>', 'Trent', 'Jonathan']"
Daryl Hall/Sara Allen/Arthur Baker,Daryl Hall/Sara Allen/Arthur Baker,"['Daryl Hall', 'Sara Allen', 'Arthur Baker']"
Josh Hardy/Phoebe Lou/DJ Frank E/Charlie Puth/Wiz Khalifa/Dann Hume/Andrew Cedar,Josh Hardy/Phoebe Lou/DJ Frank E/Charlie Puth/Wiz Khalifa/Dann Hume/Andrew Cedar,"['Josh Hardy', 'Phoebe Lou', 'DJ Frank E', 'Charlie Puth', 'Wiz Khalifa', 'Dann Hume', 'Andrew Cedar']"
PolyphonicBranch,PolyphonicBranch,['PolyphonicBranch']
Chase ZW/Boy Tricky/Jungle Entertainment Ventures,Chase ZW/Boy Tricky,"['Chase ZW', 'Boy Tricky', 'Jungle Entertainment Ventures']"
Emily Cheng,Emily Cheng,['Emily Cheng']
Alain Goraguer/Claude Lemesle/Jean-Pierre Bourtayre,Alain Goraguer/Claude Lemesle/Jean-Pierre Bourtayre,"['Alain Goraguer', 'Claude Lemesle', 'Jean-Pierre Bourtayre']"
Leopoldo Rodas Santizo,,['Leopoldo Rodas Santizo']
Paupa,Paupa,['Paupa']
Shakira/Luis Fernando Ochoa,Shakira/Luis Fernando Ochoa,"['Shakira', 'Luis Fernando Ochoa']"
Death/Matyi/Gomori-Burnska/DJ Assassin/Suzanne,Death/Matyi/Gomori-Burnska/DJ Assassin/Suzanne,"['Death', 'Matyi', 'Gomori-Burnska', 'DJ Assassin', 'Suzanne']"
Irving Fields,Irving Fields,['Irving Fields']
Eizayah Hopkins,Eizayah Hopkins,['Eizayah Hopkins']
Tyler Wasielewski-Tavarez & ONI INC.,Tyler Wasielewski-Tavarez/ONI INC.,"['Tyler Wasielewski-Tavarez', 'ONI INC.']"
Silent Roar Productions/Qari Shahid Mehmood Qadri,Qari Shahid Mehmood Qadri,"['Silent Roar Productions', 'Qari Shahid Mehmood Qadri']"
Rella Gz x Wawa 2 Sneakyy x Miyaa V,Rella Gz/Wawa 2 Sneakyy/Miyaa V,['Rella Gz x Wawa 2 Sneakyy x Miyaa V']
Simon Bartholomew/Jim Hunt/Jan Kincaid/Andrew Levy/Matt Steele,Simon Bartholomew/Jim Hunt/Jan Kincaid/Andrew Levy/Matt Steele,"['Simon Bartholomew', 'Jim Hunt', 'Jan Kincaid', 'Andrew Levy', 'Matt Steele']"
Srk Sumon Roy & Giasuddin Taheri,Srk Sumon Roy /Giasuddin Taheri,"['Srk Sumon Roy', 'Giasuddin Taheri']"
Jairmy Long,Jairmy Long,['Jairmy Long']
Marius Stepien,Marius Stepien,['Marius Stepien']
Tăng Nhật Tuệ,,['Tăng Nhật Tuệ']
Маргарита Пушкина/Сергей Терентьев,,"['Маргарита Пушкина', 'Сергей Терентьев']"
Aleksandr Alekseevich Osipov,,['Aleksandr Alekseevich Osipov']
Daylin Banks,Daylin Banks,['Daylin Banks']
Jérôme Echenoz,Jérôme Echenoz,['Jérôme Echenoz']
JORDAN MATTHEW CHRISTOPHER (MR,JORDAN MATTHEW CHRISTOPHER,"['JORDAN MATTHEW CHRISTOPHER', 'MR']"
Charles Hutagalung,Charles Hutagalung,['Charles Hutagalung']
"<Unknown>/Kalkan, John",Kalkan/John,"['<Unknown>', 'Kalkan', 'John']"
Jean-Paul de Coster/Ray Slijngaard/Anita Doth/Phil Wilde,Jean-Paul de Coster/Ray Slijngaard/Anita Doth/Phil Wilde,"['Jean-Paul de Coster', 'Ray Slijngaard', 'Anita Doth', 'Phil Wilde']"
Richard Hudson/John Ford,,"['Richard Hudson', 'John Ford']"
Rib:y(uhki),Rib:y(uhki),"['Rib:y', 'uhki']"
"<Unknown>/Jordan, James M",James M,"['<Unknown>', 'Jordan', 'James M']"
Martin Landström/Mathilda Skonare Karlsson,Martin Landström/Mathilda Skonare Karlsson,"['Martin Landström', 'Mathilda Skonare Karlsson']"
Jean Feline/Paul Misraki/Cornelis Martin Schrama,Jean Feline/Paul Misraki/Cornelis Martin Schrama,"['Jean Feline', 'Paul Misraki', 'Cornelis Martin Schrama']"
M. Parish/Lewis Nash/H. Carmichael/Houston Person/Peter Washington,M. Parish/Lewis Nash/H. Carmichael/Houston Person/Peter Washington,"['M. Parish', 'Lewis Nash', 'H. Carmichael', 'Houston Person', 'Peter Washington']"
Declan MacManus/Mac Manus/Michael Thomas/Paul Cassidy/M. P. Thomas,Declan MacManus/Mac Manus/Michael Thomas/Paul Cassidy/M. P. Thomas,"['Declan MacManus', 'Mac Manus', 'Michael Thomas', 'Paul Cassidy', 'M. P. Thomas']"
Rafik Nouar,Rafik Nouar,['Rafik Nouar']
A. Herzog Jr./I. Kitchings,A. Herzog Jr./I. Kitchings,"['A. Herzog Jr.', 'I. Kitchings']"
Multiza Distribution/Игорь Серовиков/Алексей Страйк/Strike,,"['Multiza Distribution', 'Игорь Серовиков', 'Алексей Страйк', 'Strike']"
Trillo Beatz/Rodarius Green/Kendrell Mattox/Trentay Robinson/Drell On The Track,Trillo Beatz/Rodarius Green/Kendrell Mattox/Trentay Robinson/Drell On The Track,"['Trillo Beatz', 'Rodarius Green', 'Kendrell Mattox', 'Trentay Robinson', 'Drell On The Track']"
"Symba (USA),LaRussell",Symba (USA)/LaRussell,"['Symba', 'USA', 'LaRussell']"
Ray Muzik,Ray Muzik,['Ray Muzik']
Charmaine Wells & Werner Carrasco,Charmaine Wells/Werner Carrasco,"['Charmaine Wells', 'Werner Carrasco']"
Eric B./Rakim,Eric B/Rakim,"['Eric B.', 'Rakim']"
Tetsuya Komuro,Tetsuya Komuro,['Tetsuya Komuro']
Omar Arreola,Omar Arreola,['Omar Arreola']
Eduard Nápravník,Eduard Nápravník,['Eduard Nápravník']
ROSA  MIGUEL,ROSA  MIGUEL,['ROSA  MIGUEL']
COPYRIGHT CONTROL SGAE,,['COPYRIGHT CONTROL SGAE']
"Мамедов Бахтияр Гусейнулы, Сатыбалдиев Тамерлан & Алексеев Анатолий",,"['Мамедов Бахтияр Гусейнулы', 'Сатыбалдиев Тамерлан', 'Алексеев Анатолий']"
Võ Thanh Tùng/Nguyễn Trần Hoàng Thịnh/Trần Quốc Khánh,,"['Võ Thanh Tùng', 'Nguyễn Trần Hoàng Thịnh', 'Trần Quốc Khánh']"
"<Unknown>/Hewitt, Nathaniel Anthony",Hewitt/Nathaniel Anthony,"['<Unknown>', 'Hewitt', 'Nathaniel Anthony']"
"Mike Geiger,Woody Mullis,Ricky Ray Rector",Mike Geiger/Woody Mullis/Ricky Ray Rector,"['Mike Geiger', 'Woody Mullis', 'Ricky Ray Rector']"
Moure Olguin & Porras Nunez,Moure Olguin/Porras Nunez,"['Moure Olguin', 'Porras Nunez']"
REPLAY,,['REPLAY']
"<Unknown>/Arakelyan, Grigor",Grigor,"['<Unknown>', 'Arakelyan', 'Grigor']"
Laif Kaz,Laif Kaz,['Laif Kaz']
Jean-Baptiste Lully,Jean-Baptiste Lully,['Jean-Baptiste Lully']
John Farrar,John Farrar,['John Farrar']
William Bennett,William Bennett,['William Bennett']
Bertrand Bailey,Bertrand Bailey,['Bertrand Bailey']
Paul Crook/Tom Cochrane/Carlton Ridenhour,Paul Crook/Tom Cochrane/Carlton Ridenhour,"['Paul Crook', 'Tom Cochrane', 'Carlton Ridenhour']"
Chill Bro,Chill Bro,['Chill Bro']
Antonio Rosetti (c1750-1792),Antonio/Rosetti,"['Antonio Rosetti', 'c1750-1792']"
Y. Moodley/S McQuinn,,"['Y. Moodley', 'S McQuinn']"
Loki Lonestar/Etienne Bianchi/Clemence Dufieux,Loki Lonestar/Etienne Bianchi/Clemence Dufieux,"['Loki Lonestar', 'Etienne Bianchi', 'Clemence Dufieux']"
Alif Chrizto/Copyright Control,Alif Chrizto,"['Alif Chrizto', 'Copyright Control']"
Roy Harper,Roy Harper,['Roy Harper']
"<Unknown>/Moronta, Lidabel",Moronta/Lidabel,"['<Unknown>', 'Moronta', 'Lidabel']"
Shinpei Nakayama/Ujyo Noguchi,Shinpei Nakayama/Ujyo Noguchi,"['Shinpei Nakayama', 'Ujyo Noguchi']"
Artificialz,Artificialz,['Artificialz']
"<Unknown>/Brinkman, Dirk",Brinkman/Dirk,"['<Unknown>', 'Brinkman', 'Dirk']"
Nicholas Antwi/Midian Mathers/Aqeel Michael Duff/DuWayne John Phinisey/Davic Quincy-Stewart/Taahira Duff,,"['Nicholas Antwi', 'Midian Mathers', 'Aqeel Michael Duff', 'DuWayne John Phinisey', 'Davic Quincy-Stewart', 'Taahira Duff']"
The Protomen,The Protomen,['The Protomen']
Rafael Alonso Cabaleiro,,['Rafael Alonso Cabaleiro']
Ani DiFranco,Ani DiFranco,['Ani DiFranco']
Louis Côté/Cyril Kamar,Louis Côté/Cyril Kamar,"['Louis Côté', 'Cyril Kamar']"
Jesus Cubero/Arturo Molina/Reynaldo Romero/Fernando Leonel Vega Jr,Jesus Cubero/Arturo Molina/Reynaldo Romero/Fernando Leonel Vega Jr,"['Jesus Cubero', 'Arturo Molina', 'Reynaldo Romero', 'Fernando Leonel Vega Jr']"
RUCCA/Tomohiro Kita,RUCCA/Tomohiro Kita,"['RUCCA', 'Tomohiro Kita']"
Nikos Gatsos/Stavros Xarhakos,Nikos Gatsos/Stavros Xarhakos,"['Nikos Gatsos', 'Stavros Xarhakos']"
Pintu Sharma/Sunny Sharma/Yuki Cassettes,Pintu Sharma/Sunny Sharma/Yuki Cassettes,"['Pintu Sharma', 'Sunny Sharma', 'Yuki Cassettes']"
Nelson/Cardi B/Pardison/Josh X,Nelson/Cardi B/Pardison/Josh X,"['Nelson', 'Cardi B', 'Pardison', 'Josh X']"
Steelz/Hi-Tone/Nate Fox,Steelz/Hi-Tone/Nate Fox,"['Steelz', 'Hi-Tone', 'Nate Fox']"
JAC,JAC,['JAC']
Georg Böhm,Georg Böhm,['Georg Böhm']
Sergej Vladimirovich Terent'ev,,"[""Sergej Vladimirovich Terent'ev""]"
Jose Ontiveros Meza,Jose Ontiveros Meza,['Jose Ontiveros Meza']
Prabhat Barot & Traditional,Prabhat Barot/Traditional,"['Prabhat Barot', 'Traditional']"
"<Unknown>/Myles, Joshua",Myles/Joshua,"['<Unknown>', 'Myles', 'Joshua']"
Murray Gold/Universal Music,Murray Gold,"['Murray Gold', 'Universal Music']"
R. Johnson,R. Johnson,['R. Johnson']
Wilhelm Körner,Wilhelm Körner,['Wilhelm Körner']
Katryn Macko/Ryan Stanley,Katryn Macko/Ryan Stanley,"['Katryn Macko', 'Ryan Stanley']"
J. Jackson/P. Williams/C. Hugo,J. Jackson/P. Williams/C. Hugo,"['J. Jackson', 'P. Williams', 'C. Hugo']"
"Estilo Moreno, José Alaniz, Luis de la Isla & Paul Sefchovich",Estilo Moreno/José Alaniz/Luis de la Isla/Paul Sefchovich,"['Estilo Moreno', 'José Alaniz', 'Luis de la Isla', 'Paul Sefchovich']"
"Steve Porcaro,John Bettis,TONK Wit Tha Gift,YNW Melly",Steve Porcaro/John Bettis/TONK Wit Tha Gift/YNW Melly,"['Steve Porcaro', 'John Bettis', 'TONK Wit Tha Gift', 'YNW Melly']"
Dolly Parton,Dolly Parton,['Dolly Parton']
"RMC Mike,Young King,GrindHard E,Rio Da Yung OG",RMC Mike/Young King/GrindHard E/Rio Da Yung OG,"['RMC Mike', 'Young King', 'GrindHard E', 'Rio Da Yung OG']"
Sudan Williams,Sudan Williams,['Sudan Williams']
Tah Poe Chi,Tah Poe Chi,['Tah Poe Chi']
CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam,CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam,"['CHASE B', 'Aaron Booe', 'Teddy Walton', 'Gerald Tiller', 'Chase Benjamin', 'Jacques Webster', 'Maurice Gleaton', 'Jeffery Williams', 'Bernard Leverette', 'Jamall Willingham', 'Mathangi Arulpragasam']"
Dane DeViller/Sean Syed Hosein/Steve Kipner,,"['Dane DeViller', 'Sean Syed Hosein', 'Steve Kipner']"
Kang Wo & DAVID CHANDRA,Kang Wo/DAVID CHANDRA,"['Kang Wo', 'DAVID CHANDRA']"
NEFFEX,NEFFEX,['NEFFEX']
Roza Filberg,Roza Filberg,['Roza Filberg']
"Reeves, Martin/Sargent, Christopher Richard",,"['Reeves', 'Martin', 'Sargent', 'Christopher Richard']"
Juan Fernando Cordova,Juan Fernando Cordova,['Juan Fernando Cordova']
Himesh Reshammiya,Himesh Reshammiya,['Himesh Reshammiya']
José Alfredo Jiménez,José Alfredo Jiménez,['José Alfredo Jiménez']
Joey Fatts,Joey Fatts,['Joey Fatts']
José Holguin,José Holguin,['José Holguin']
Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove,"['Gary Francois', 'Serge Ramaekers', 'Hansbert Vanhove', 'Copyright Control', 'Gery Francois']"
Jon Lundin/Eli Strobeck,Jon Lundin/Eli Strobeck,"['Jon Lundin', 'Eli Strobeck']"
Simon Harris/Acid Fingers,Simon Harris/Acid Fingers,"['Simon Harris', 'Acid Fingers']"
Khir 1k,Khir 1k,['Khir 1k']
Mckenzie Jakovie Haynes,Mckenzie Jakovie Haynes,['Mckenzie Jakovie Haynes']
Majrooh Sultanpuri,Majrooh Sultanpuri,['Majrooh Sultanpuri']
Martin Humberto Hernandez Arrayales,Martin Humberto Hernandez Arrayales,['Martin Humberto Hernandez Arrayales']
"Lil Baby,30 Deep Grimeyy",Lil Baby/30 Deep Grimeyy,"['Lil Baby', '30 Deep Grimeyy']"
Aryo,Aryo,['Aryo']
Ayesha Erotica,Ayesha Erotica,['Ayesha Erotica']
Stephen Hermann,,['Stephen Hermann']
许一淳,,['许一淳']
Li Min/Daisuke Hinata,Li Min/Daisuke Hinata,"['Li Min', 'Daisuke Hinata']"
Allan Clarke/Tony Hicks/Graham Nash,Allan Clarke/Tony Hicks/Graham Nash,"['Allan Clarke', 'Tony Hicks', 'Graham Nash']"
Dalton/Anders Tengner,Dalton/Anders Tengner,"['Dalton', 'Anders Tengner']"
Swifty Blue,Swifty Blue,['Swifty Blue']
Tim Scott,Tim Scott,['Tim Scott']
Darian Hernandez,Darian Hernandez,['Darian Hernandez']
"<Unknown>/Mincey, Jeremy",Mincey/Jeremy,"['<Unknown>', 'Mincey', 'Jeremy']"
YNW Melly,YNW Melly,['YNW Melly']
Tony Perete Gomez,Tony Perete Gomez,['Tony Perete Gomez']
OH HUK,OH HUK,['OH HUK']
Anthony White,Anthony White,['Anthony White']
Glenn Danzig,,['Glenn Danzig']
Jesse Colin Young,Jesse Colin Young,['Jesse Colin Young']
Phil Collins,Phil Collins,['Phil Collins']
Willie Taylor,Willie Taylor,['Willie Taylor']
Spitz/Seiji Kameda/Masamune Kusano,Spitz/Seiji Kameda/Masamune Kusano,"['Spitz', 'Seiji Kameda', 'Masamune Kusano']"
CA ACHKAR PERES PETRILLO ALOK/CA BERENGUER EDOUARDO GENNARI/CA HART CARPENTER KRISTIN ELISABETH/CA LANDELL GUSTAV/CA WOLVE/PA ALOK & MALIFOO,ACHKAR/PERES/PETRILLO/ALOK/BERENGUER/EDOUARDO/GENNARI/HART/RPENTER/KRISTIN/ELISABETH/LANDELL/GUSTAV/WOLVE/PA/ALOK/&/MALIFOO,"['CA ACHKAR PERES PETRILLO ALOK', 'CA BERENGUER EDOUARDO GENNARI', 'CA HART CARPENTER KRISTIN ELISABETH', 'CA LANDELL GUSTAV', 'CA WOLVE', 'PA ALOK', 'MALIFOO']"
Jamal Mubarez,Jamal Mubarez,['Jamal Mubarez']
Traditional,,['Traditional']
Vybz Kartel,Vybz Kartel,['Vybz Kartel']
"<Unknown>/Thrasher, Derek R",Thrasher/Derek/R,"['<Unknown>', 'Thrasher', 'Derek R']"
